"Apple MacBook Air (November, 2020) MGN93N/A - 13.3 inch - Apple M1 - 256 GB - Zilver",1039,984,55,Apple,https://www.bol.com//nl/p/apple-macbook-air-mgn93n-a-13-3-inch-apple-m1-256-gb-zilver/9300000017194057/
ASUS VivoBook 15 M513IA-BQ438T - Laptop - 15.6 inch,699,0,0,ASUS,https://www.bol.com//nl/p/asus-vivobook-15-m513ia-bq438t-laptop-15-6-inch/9300000007644127/
ASUS ROG G713QM-HX015T - Gaming Laptop - 17 inch - 144 Hz,1599,0,0,ASUS,https://www.bol.com//nl/p/asus-rog-g713qm-hx015t-gaming-laptop-17-inch-144-hz/9300000019810960/
"Apple MacBook Air (November, 2020) Z124000A1-CTO-MGN73 - 13.3 inch - Apple M1 - 256 GB - Space Grey",1279,0,0,Apple,https://www.bol.com//nl/p/apple-macbook-air-z124000a1-cto-mgn73-13-3-inch-apple-m1-256-gb-space-grey/9300000021411868/
HP Chromebook x360 14a-ca0100nd - Chromebook - 14 inch,349,247,102,HP,https://www.bol.com//nl/p/hp-chromebook-x360-14a-ca0100nd-chromebook-14-inch/9300000009978728/
Lenovo Chromebook Flex 3 11-IGL05 82BB0011MH - Chromebook - 11.6 Inch,289,199,90,Lenovo,https://www.bol.com//nl/p/lenovo-chromebook-flex-3-11-igl05-82bb0011mh-chromebook-11-6-inch/9300000001146694/
Lenovo IdeaPad Gaming 3 81Y400GNMH - Gaming Laptop - 15.6 inch,1049,821,228,Lenovo,https://www.bol.com//nl/p/lenovo-ideapad-gaming-3-81y400gnmh-gaming-laptop-15-6-inch/9300000001199667/
"Apple MacBook Air (November, 2020) MGND3N/A - 13.3 inch - Apple M1 - 256 GB - Goud",1039,989,50,Apple,https://www.bol.com//nl/p/apple-macbook-air-mgnd3n-a-13-3-inch-apple-m1-256-gb-goud/9300000017194046/
ASUS Chromebook C523NA-EJ0353 - Chromebook - 15.6 Inch,379,0,0,ASUS,https://www.bol.com//nl/p/asus-chromebook-c523na-ej0353-chromebook-15-6-inch/9300000022870001/
not found,542,0,0,HP,not found
MSI GL65 10SDR-416NL Gaming Laptop - 15.6 inch - 144 Hz,1022,0,0,MSI,https://www.bol.com//nl/p/msi-gl65-10sdr-416nl-gaming-laptop-15-6-inch-144-hz/9300000005502065/
Huawei Matebook D 14 53012BMY - Laptop - 14 inch,599,0,0,Huawei,https://www.bol.com//nl/p/huawei-matebook-d-14-53012bmy-laptop-14-inch/9300000031269542/
ASUS X515JA-BQ838T - Laptop - 15 inch,499,0,0,ASUS,https://www.bol.com//nl/p/asus-x515ja-bq838t-laptop-15-inch/9300000019805446/
HP 14s-fq0700nd - Laptop - 14 Inch,0,0,0,HP,https://www.bol.com//nl/p/hp-14s-fq0700nd-laptop-14-inch/9300000004054395/
"Apple MacBook Pro (November, 2020) MYD92N/A - 13.3 inch - Apple M1 - 512 GB - Spacegrey",1466,1409,57,Apple,https://www.bol.com//nl/p/apple-macbook-pro-myd92n-a-13-3-inch-apple-m1-512-gb-spacegrey/9300000017194058/
MSI GF75 10SCXR-205NL - Gaming Laptop - 17.3 Inch (144Hz),1229,0,0,MSI,https://www.bol.com//nl/p/msi-gf75-10scxr-205nl-gaming-laptop-17-3-inch/9300000003309533/
"Fujitsu Lifebook E754 (Refurbished) 15,6 inch Full HD - Intel Core i5 - 8GB - 240GB SSD - Windows 10",359,0,0,Fujitsu,https://www.bol.com//nl/p/fujitsu-lifebook-e754-15-6-inch-full-hd-intel-core-i5-8gb-240gb-ssd-windows-10/9300000027281850/
"HP 17-BY1003CA RENEWED - 17.3"" Touchscreen - i5 - 8GB DDR4 - 256GB SSD + 2TB HDD - Win 10 Home +  Muis",749,0,0,HP,https://www.bol.com//nl/p/hp-17-by1003ca-renewed-17-3-touchscreen-i5-8gb-ddr4-256gb-ssd-2tb-hdd-win-10-home-muis/9300000025744835/
Acer Chromebook 314 CB314-1H-C57A- Chromebook - 14 Inch,329,222,107,Acer,https://www.bol.com//nl/p/acer-chromebook-314-cb314-1h-c57a-chromebook-14-inch/9200000124483982/
ASUS C223NA-GJ0088 - Chromebook - 11.6 inch,199,0,0,ASUS,https://www.bol.com//nl/p/asus-c223na-gj0088-chromebook-11-6-inch/9300000021092343/
ASUS X515MA-BR091T - Laptop - 15.6 inch,349,0,0,ASUS,https://www.bol.com//nl/p/asus-x515ma-br091t-laptop-15-6-inch/9300000018993200/
Asus Chromebook Flip C434TA-AI0362 - Chromebook - 14 Inch,599,562,37,ASUS,https://www.bol.com//nl/p/asus-chromebook-flip-c434ta-ai0362-chromebook-14-inch/9300000002220857/
Lenovo Ideapad S540 81XA007AMH - Laptop - 13.3 Inch,999,0,0,Lenovo,https://www.bol.com//nl/p/lenovo-ideapad-s540-81xa007amh-laptop-13-3-inch/9300000000539175/
MSI GL75 10SDR-271NL - Gaming Laptop - 17.3 Inch (144Hz),1349,0,0,MSI,https://www.bol.com//nl/p/msi-gl75-10sdr-271nl-gaming-laptop-17-3-inch/9300000003309544/
Lenovo Ideapad 3 Chromebook 82C1000XMH - Chromebook - 14 Inch,269,227,42,Lenovo,https://www.bol.com//nl/p/lenovo-ideapad-3-chromebook-82c1000xmh-chromebook-14-inch/9300000001146692/
